2022-10-14 16:30:22.1019 RTP: time=[08:30:22:087] ip=[10.102.7.25]:8564 => [10.102.7.90]:23874, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x7546, Seq=3736, Time=1532289578
2022-10-14 16:30:22.1169 RTP: time=[08:30:22:101] ip=[10.102.7.90]:23874 => [10.102.7.25]:8564, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0xDD69C46B, Seq=58203, Time=1829410733
2022-10-14 16:30:22.1169 RTP: time=[08:30:22:102] ip=[10.102.7.90]:23874 => [10.102.7.25]:8564, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0xDD69C46B, Seq=58203, Time=1829410733
2022-10-14 16:30:22.1169 RTP: time=[08:30:22:104] ip=[10.102.7.25]:8564 => [10.102.7.90]:23874, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x7546, Seq=3737, Time=1532289738
2022-10-14 16:30:22.1169 RTP: time=[08:30:22:104] ip=[10.102.7.25]:8564 => [10.102.7.90]:23874, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x7546, Seq=3737, Time=1532289738
2022-10-14 16:30:22.1319 RTP: time=[08:30:22:116] ip=[10.102.7.90]:23874 => [10.102.7.25]:8564, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0xDD69C46B, Seq=58204, Time=1829410893
2022-10-14 16:30:22.1319 RTP: time=[08:30:22:117] ip=[10.102.7.90]:23874 => [10.102.7.25]:8564, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0xDD69C46B, Seq=58204, Time=1829410893
2022-10-14 16:30:22.1319 RTP: time=[08:30:22:117] ip=[10.102.7.25]:8564 => [10.102.7.90]:23874, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x7546, Seq=3738, Time=1532289898
2022-10-14 16:30:22.1319 RTP: time=[08:30:22:117] ip=[10.102.7.25]:8564 => [10.102.7.90]:23874, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x7546, Seq=3738, Time=1532289898
2022-10-14 16:30:22.1469 RTP: time=[08:30:22:133] ip=[10.102.7.90]:23874 => [10.102.7.25]:8564, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0xDD69C46B, Seq=58205, Time=1829411053
2022-10-14 16:30:22.1469 RTP: time=[08:30:22:133] ip=[10.102.7.90]:23874 => [10.102.7.25]:8564, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0xDD69C46B, Seq=58205, Time=1829411053
2022-10-14 16:30:22.1469 RTP: time=[08:30:22:134] ip=[10.102.7.25]:8564 => [10.102.7.90]:23874, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x7546, Seq=3739, Time=1532290058
2022-10-14 16:30:22.1469 RTP: time=[08:30:22:134] ip=[10.102.7.25]:8564 => [10.102.7.90]:23874, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x7546, Seq=3739, Time=1532290058
2022-10-14 16:30:22.1769 RTP: time=[08:30:22:161] ip=[10.102.7.90]:23874 => [10.102.7.25]:8564, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0xDD69C46B, Seq=58206, Time=1829411213
2022-10-14 16:30:22.1769 RTP: time=[08:30:22:162] ip=[10.102.7.90]:23874 => [10.102.7.25]:8564, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0xDD69C46B, Seq=58206, Time=1829411213
2022-10-14 16:30:22.1769 RTP: time=[08:30:22:162] ip=[10.102.7.25]:8564 => [10.102.7.90]:23874, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x7546, Seq=3740, Time=1532290218
2022-10-14 16:30:22.1769 RTP: time=[08:30:22:162] ip=[10.102.7.25]:8564 => [10.102.7.90]:23874, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x7546, Seq=3740, Time=1532290218
2022-10-14 16:30:22.1919 RTP: time=[08:30:22:176] ip=[10.102.7.90]:23874 => [10.102.7.25]:8564, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0xDD69C46B, Seq=58207, Time=1829411373
2022-10-14 16:30:22.1919 RTP: time=[08:30:22:177] ip=[10.102.7.90]:23874 => [10.102.7.25]:8564, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0xDD69C46B, Seq=58207, Time=1829411373
2022-10-14 16:30:22.1919 RTP: time=[08:30:22:177] ip=[10.102.7.25]:8564 => [10.102.7.90]:23874, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x7546, Seq=3741, Time=1532290378
2022-10-14 16:30:22.1919 RTP: time=[08:30:22:177] ip=[10.102.7.25]:8564 => [10.102.7.90]:23874, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x7546, Seq=3741, Time=1532290378
2022-10-14 16:30:22.2069 RTP: time=[08:30:22:192] ip=[10.102.7.90]:23874 => [10.102.7.25]:8564, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0xDD69C46B, Seq=58208, Time=1829411533
2022-10-14 16:30:22.2069 RTP: time=[08:30:22:192] ip=[10.102.7.90]:23874 => [10.102.7.25]:8564, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0xDD69C46B, Seq=58208, Time=1829411533
