2022-10-14 16:30:10.4097 
2022-10-14 16:30:10.4097 ********** ParsePacket 5014@10.102.7.90/6C5E3B87C5C6 is now starting ... **********
2022-10-14 16:30:21.8620 ### 開始錄音(建立 CallRtp) => ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21
2022-10-14 16:30:22.3869 pktIndex=35, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58202, RecvRtpSeq=3735, System.Func`1[System.String]
2022-10-14 16:30:22.4019 pktIndex=36, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58202, RecvRtpSeq=3735, System.Func`1[System.String]
2022-10-14 16:30:22.4169 pktIndex=37, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58202, RecvRtpSeq=3736, System.Func`1[System.String]
2022-10-14 16:30:22.4319 pktIndex=38, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58202, RecvRtpSeq=3736, System.Func`1[System.String]
2022-10-14 16:30:22.4469 pktIndex=39, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58203, RecvRtpSeq=3736, System.Func`1[System.String]
2022-10-14 16:30:22.4619 pktIndex=40, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58203, RecvRtpSeq=3736, System.Func`1[System.String]
2022-10-14 16:30:22.4770 pktIndex=41, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58203, RecvRtpSeq=3737, System.Func`1[System.String]
2022-10-14 16:30:22.4919 pktIndex=42, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58203, RecvRtpSeq=3737, System.Func`1[System.String]
2022-10-14 16:30:22.5069 pktIndex=43, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58204, RecvRtpSeq=3737, System.Func`1[System.String]
2022-10-14 16:30:22.5229 pktIndex=44, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58204, RecvRtpSeq=3737, System.Func`1[System.String]
2022-10-14 16:30:22.5380 pktIndex=45, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58204, RecvRtpSeq=3738, System.Func`1[System.String]
2022-10-14 16:30:22.5529 pktIndex=46, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58204, RecvRtpSeq=3738, System.Func`1[System.String]
2022-10-14 16:30:22.5679 pktIndex=47, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58205, RecvRtpSeq=3738, System.Func`1[System.String]
2022-10-14 16:30:22.5829 pktIndex=48, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58205, RecvRtpSeq=3738, System.Func`1[System.String]
2022-10-14 16:30:22.5979 pktIndex=49, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58205, RecvRtpSeq=3739, System.Func`1[System.String]
2022-10-14 16:30:22.6128 pktIndex=50, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58205, RecvRtpSeq=3739, System.Func`1[System.String]
2022-10-14 16:30:22.6278 pktIndex=51, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58206, RecvRtpSeq=3739, System.Func`1[System.String]
2022-10-14 16:30:22.6428 pktIndex=52, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58206, RecvRtpSeq=3739, System.Func`1[System.String]
2022-10-14 16:30:22.6589 pktIndex=53, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58206, RecvRtpSeq=3740, System.Func`1[System.String]
2022-10-14 16:30:22.6739 pktIndex=54, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58206, RecvRtpSeq=3740, System.Func`1[System.String]
2022-10-14 16:30:22.6889 pktIndex=55, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58207, RecvRtpSeq=3740, System.Func`1[System.String]
2022-10-14 16:30:22.7039 pktIndex=56, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58207, RecvRtpSeq=3740, System.Func`1[System.String]
2022-10-14 16:30:22.7189 pktIndex=57, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58207, RecvRtpSeq=3741, System.Func`1[System.String]
2022-10-14 16:30:22.7339 pktIndex=58, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58207, RecvRtpSeq=3741, System.Func`1[System.String]
2022-10-14 16:30:22.7339 pktIndex=59, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58208, RecvRtpSeq=3741, System.Func`1[System.String]
2022-10-14 16:30:22.7639 pktIndex=60, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58208, RecvRtpSeq=3741, System.Func`1[System.String]
