2022-10-14 17:02:47.6096 ### 開始錄音(建立 CallRtp) => ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47
2022-10-14 17:02:48.2715 pktIndex=45, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7291, RecvRtpSeq=4589, System.Func`1[System.String]
2022-10-14 17:02:48.2866 pktIndex=46, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7291, RecvRtpSeq=4589, System.Func`1[System.String]
2022-10-14 17:02:48.3025 pktIndex=47, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7292, RecvRtpSeq=4589, System.Func`1[System.String]
2022-10-14 17:02:48.3175 pktIndex=48, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7292, RecvRtpSeq=4589, System.Func`1[System.String]
2022-10-14 17:02:48.3327 pktIndex=49, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7292, RecvRtpSeq=4590, System.Func`1[System.String]
2022-10-14 17:02:48.3477 pktIndex=50, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7292, RecvRtpSeq=4590, System.Func`1[System.String]
2022-10-14 17:02:48.3628 pktIndex=51, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7293, RecvRtpSeq=4590, System.Func`1[System.String]
2022-10-14 17:02:48.3786 pktIndex=52, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7293, RecvRtpSeq=4590, System.Func`1[System.String]
2022-10-14 17:02:48.3936 pktIndex=53, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7293, RecvRtpSeq=4591, System.Func`1[System.String]
2022-10-14 17:02:48.4086 pktIndex=54, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7293, RecvRtpSeq=4591, System.Func`1[System.String]
