2022-10-14 17:02:47.8805 RTP: time=[09:02:47:867] ip=[10.102.7.90]:25472 => [10.102.7.25]:12384, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x8D154450, Seq=7290, Time=1695328685
2022-10-14 17:02:47.8805 RTP: time=[09:02:47:867] ip=[10.102.7.90]:25472 => [10.102.7.25]:12384, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x8D154450, Seq=7290, Time=1695328685
2022-10-14 17:02:47.8955 RTP: time=[09:02:47:880] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4588, Time=2744466617
2022-10-14 17:02:47.8955 RTP: time=[09:02:47:880] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4588, Time=2744466617
2022-10-14 17:02:47.8955 RTP: time=[09:02:47:880] ip=[10.102.7.90]:25472 => [10.102.7.25]:12384, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x8D154450, Seq=7291, Time=1695328845
2022-10-14 17:02:47.8955 RTP: time=[09:02:47:880] ip=[10.102.7.90]:25472 => [10.102.7.25]:12384, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x8D154450, Seq=7291, Time=1695328845
2022-10-14 17:02:47.9105 RTP: time=[09:02:47:896] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4589, Time=2744466777
2022-10-14 17:02:47.9105 RTP: time=[09:02:47:896] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4589, Time=2744466777
2022-10-14 17:02:47.9255 RTP: time=[09:02:47:910] ip=[10.102.7.90]:25472 => [10.102.7.25]:12384, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x8D154450, Seq=7292, Time=1695329005
2022-10-14 17:02:47.9255 RTP: time=[09:02:47:910] ip=[10.102.7.90]:25472 => [10.102.7.25]:12384, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x8D154450, Seq=7292, Time=1695329005
2022-10-14 17:02:47.9255 RTP: time=[09:02:47:911] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4590, Time=2744466937
2022-10-14 17:02:47.9255 RTP: time=[09:02:47:911] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4590, Time=2744466937
2022-10-14 17:02:47.9405 RTP: time=[09:02:47:925] ip=[10.102.7.90]:25472 => [10.102.7.25]:12384, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x8D154450, Seq=7293, Time=1695329165
2022-10-14 17:02:47.9405 RTP: time=[09:02:47:925] ip=[10.102.7.90]:25472 => [10.102.7.25]:12384, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x8D154450, Seq=7293, Time=1695329165
2022-10-14 17:02:47.9555 RTP: time=[09:02:47:940] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4591, Time=2744467097
2022-10-14 17:02:47.9555 RTP: time=[09:02:47:940] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4591, Time=2744467097
2022-10-14 17:02:47.9555 RTP: time=[09:02:47:945] ip=[10.102.7.90]:25472 => [10.102.7.25]:12384, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x8D154450, Seq=7294, Time=1695329325
