2022-10-18 10:46:02.5027 RTP: time=[02:46:02.487855] ip=[10.102.7.50]:31402 => [10.102.7.85]:22110, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0x84A7D718, Seq=28032, Time=1443586465
2022-10-18 10:46:02.5027 RTP: time=[02:46:02.487905] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0xC6E984AB, Seq=50470, Time=3845303221
2022-10-18 10:46:02.5027 RTP: time=[02:46:02.487945] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0xC6E984AB, Seq=50470, Time=3845303221
2022-10-18 10:46:02.5187 RTP: time=[02:46:02.502728] ip=[10.102.7.50]:31402 => [10.102.7.85]:22110, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0x84A7D718, Seq=28033, Time=1443586625
2022-10-18 10:46:02.5187 RTP: time=[02:46:02.503691] ip=[10.102.7.50]:31402 => [10.102.7.85]:22110, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0x84A7D718, Seq=28033, Time=1443586625
2022-10-18 10:46:02.5187 RTP: time=[02:46:02.506088] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0xC6E984AB, Seq=50471, Time=3845303381
2022-10-18 10:46:02.5187 RTP: time=[02:46:02.506136] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0xC6E984AB, Seq=50471, Time=3845303381
2022-10-18 10:46:02.5337 RTP: time=[02:46:02.518728] ip=[10.102.7.50]:31402 => [10.102.7.85]:22110, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0x84A7D718, Seq=28034, Time=1443586785
2022-10-18 10:46:02.5337 RTP: time=[02:46:02.518842] ip=[10.102.7.50]:31402 => [10.102.7.85]:22110, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0x84A7D718, Seq=28034, Time=1443586785
2022-10-18 10:46:02.5337 RTP: time=[02:46:02.518906] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0xC6E984AB, Seq=50472, Time=3845303541
2022-10-18 10:46:02.5337 RTP: time=[02:46:02.518964] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0xC6E984AB, Seq=50472, Time=3845303541
