2022-10-18 10:46:03.2888 pktIndex=  65, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Recv_RtpSeq=28039, PT=0, SSRC=0x84A7D718, Seq=28039, Time=1443587585
2022-10-18 10:46:03.3037 pktIndex=  66, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Recv_RtpSeq=28039, PT=0, SSRC=0x84A7D718, Seq=28039, Time=1443587585
2022-10-18 10:46:03.3187 pktIndex=  67, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Send_RtpSeq=50477, PT=0, SSRC=0xC6E984AB, Seq=50477, Time=3845304341
2022-10-18 10:46:03.3337 pktIndex=  68, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Send_RtpSeq=50477, PT=0, SSRC=0xC6E984AB, Seq=50477, Time=3845304341
2022-10-18 10:46:03.3488 pktIndex=  69, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Recv_RtpSeq=28040, PT=0, SSRC=0x84A7D718, Seq=28040, Time=1443587745
2022-10-18 10:46:03.3638 pktIndex=  70, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Recv_RtpSeq=28040, PT=0, SSRC=0x84A7D718, Seq=28040, Time=1443587745
2022-10-18 10:46:03.3788 pktIndex=  71, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Send_RtpSeq=50478, PT=0, SSRC=0xC6E984AB, Seq=50478, Time=3845304501
2022-10-18 10:46:03.3939 pktIndex=  72, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Send_RtpSeq=50478, PT=0, SSRC=0xC6E984AB, Seq=50478, Time=3845304501
2022-10-18 10:46:03.4088 pktIndex=  73, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Recv_RtpSeq=28041, PT=0, SSRC=0x84A7D718, Seq=28041, Time=1443587905
2022-10-18 10:46:03.4248 pktIndex=  74, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Recv_RtpSeq=28041, PT=0, SSRC=0x84A7D718, Seq=28041, Time=1443587905
2022-10-18 10:46:03.4407 pktIndex=  75, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Send_RtpSeq=50479, PT=0, SSRC=0xC6E984AB, Seq=50479, Time=3845304661
2022-10-18 10:46:03.4557 pktIndex=  76, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Send_RtpSeq=50479, PT=0, SSRC=0xC6E984AB, Seq=50479, Time=3845304661
